ID,Material,Spec,Form,Condition,Thickness,Basis,Ftu_L,Ftu_LT,Ftu_ST,Fty_L,Fty_LT,Fty_ST,Fcy_L,Fcy_LT,Fcy_ST,Fsu LS,Fsu TS,Fsu SL,Fbru(ed=1.5)_L,Fbru(ed=1.5)_LT,Fbru(ed=1.5)_ST,Fbru(ed=2.0)_L,Fbru(ed=2.0)_LT,Fbru(ed=2.0)_ST,Fbry(ed=1.5)_L,Fbry(ed=1.5)_LT,Fbry(ed=1.5)_ST,Fbry(ed=2.0)_L,Fbry(ed=2.0)_LT,Fbry(ed=2.0)_ST,e_L,e_LT,e_ST,E_L Pri,E_LT Pri,E_ST Pri,E_L Sec,E_LT Sec,E_ST Sec,Ec_L Pri,Ec_LT Pri,Ec_ST Pri,Ec_L,Ec_LT,Ec_ST,G,v,density,Ref,Table,Material Desc,Form Desc
74,PH13-8Mo,AMS 5629,"Forging, Fl Weld ring, extr",H1000,<=12.0,S,205,205, ,190,190, , , , , , , , , , , , , , , , , , , ,10,10,,28.3, , , , , ,29.4, , ,, , ,11,0.28,0.279,Mil Hdbk5-G,2.6.5.0 c),Stainless Steel (Precipitation and Transformation Hardening Steel),PH13-8Mo H1000 <=12.0
75,PH13-8Mo,AMS 5629,"Forging, Fl Weld ring, extr",H1025,<=12.0,S,185,185, ,175,175, , , , , , , , , , , , , , , , , , , ,11,11,,28.3, , , , , ,29.4, , ,, , ,11,0.28,0.279,Mil Hdbk5-G,2.6.5.0 c),Stainless Steel (Precipitation and Transformation Hardening Steel),PH13-8Mo H1025 <=12.0
76,PH13-8Mo,AMS 5629,"Forging, Fl Weld ring, extr",H1050,<=12.0,S,175,175, ,165,165, , , , , , , , , , , , , , , , , , , ,12,12,,28.3, , , , , ,29.4, , ,, , ,11,0.28,0.279,Mil Hdbk5-G,2.6.5.0 c),Stainless Steel (Precipitation and Transformation Hardening Steel),PH13-8Mo H1050 <=12.0
77,PH13-8Mo,AMS 5629,"Forging, Fl Weld ring, extr",H1100,<=12.0,S,150,150, ,135,135, , , , , , , , , , , , , , , , , , , ,14,14,,28.3, , , , , ,29.4, , ,, , ,11,0.28,0.279,Mil Hdbk5-G,2.6.5.0 c),Stainless Steel (Precipitation and Transformation Hardening Steel),PH13-8Mo H1100 <=12.0
78,PH13-8Mo,AMS 5629,"Forging, Fl Weld ring, extr",H1150,<=12.0,S,135,135, ,90,90, , , , , , , , , , , , , , , , , , , ,14,14,,28.3, , , , , ,29.4, , ,, , ,11,0.28,0.279,Mil Hdbk5-G,2.6.5.0 c),Stainless Steel (Precipitation and Transformation Hardening Steel),PH13-8Mo H1150 <=12.0
79,15-5PH,AMS 5659,Bar and Forging,H900,<=12.0,S,190,190, ,170,170, , , , , , , , , , , , , , , , , , , ,10,6,,28.5, , , , , ,29.2, , ,, , ,11.2,0.27,0.283,Mil Hdbk5-G,2.6.6.0 b),Stainless Steel (Precipitation and Transformation Hardening Steel),15-5PH H900 <=12.0
80,15-5PH,AMS 5659,Bar and Forging,H925,<=12.0,S,170,170, ,155,155, , , , , , , , , , , , , , , , , , , ,10,7,,28.5, , , , , ,29.2, , ,, , ,11.2,0.27,0.283,Mil Hdbk5-G,2.6.6.0 b),Stainless Steel (Precipitation and Transformation Hardening Steel),15-5PH H925 <=12.0
81,15-5PH,AMS 5659,Bar and Forging,H1025,<=12.0,S,155,155, ,145,145, ,143,143, ,97, , ,263, , ,332, , ,211, , ,250, , ,12,8,,28.5, , , , , ,29.2, , ,, , ,11.2,0.27,0.283,Mil Hdbk5-G,2.6.6.0 b),Stainless Steel (Precipitation and Transformation Hardening Steel),15-5PH H1025 <=12.0
82,15-5PH,AMS 5659,Bar and Forging,H1075,<=12.0,S,145,145, ,125,125, , , , , , , , , , , , , , , , , , , ,13,9,,28.5, , , , , ,29.2, , ,, , ,11.2,0.27,0.283,Mil Hdbk5-G,2.6.6.0 b),Stainless Steel (Precipitation and Transformation Hardening Steel),15-5PH H1075 <=12.0
83,15-5PH,AMS 5659,Bar and Forging,H1100,<=12.0,S,140,140, ,115,115, , , , , , , , , , , , , , , , , , , ,14,10,,28.5, , , , , ,29.2, , ,, , ,11.2,0.27,0.283,Mil Hdbk5-G,2.6.6.0 b),Stainless Steel (Precipitation and Transformation Hardening Steel),15-5PH H1100 <=12.0
84,15-5PH,AMS 5659,Bar and Forging,H1150,<=12.0,S,135,135, ,105,105, ,99,99, ,85, , ,230, , ,293, , ,166, , ,201, , ,16,11,,28.5, , , , , ,29.2, , ,, , ,11.2,0.27,0.283,Mil Hdbk5-G,2.6.6.0 b),Stainless Steel (Precipitation and Transformation Hardening Steel),15-5PH H1150 <=12.0
85,15-5PH,AMS 5659,Bar and Forging,H1150M,<=12.0,S,115,115, ,75,75, , , , , , , , , , , , , , , , , , , ,18,14,,28.5, , , , , ,29.2, , ,, , ,11.2,0.27,0.283,Mil Hdbk5-G,2.6.6.0 b),Stainless Steel (Precipitation and Transformation Hardening Steel),15-5PH H1150M <=12.0
86,15-5PH,AMS 5862,Plate,H1025,".187-.625""",S,154,155, ,143,145, ,150,152, ,97, , ,257, , ,331, , ,211, , ,246, , ,,8,,28.5, , , , , ,29.2, , ,, , ,11.2,0.27,0.283,Mil Hdbk5-G,2.6.6.0 c),Stainless Steel (Precipitation and Transformation Hardening Steel),"15-5PH H1025 .187-.625"""
87,15-5PH,AMS 5862,Plate,H1025,".626-2.000""",S,154,155, ,143,145, ,150,149, ,97, , ,257, , ,331, , ,211, , ,246, , ,,12,,28.5, , , , , ,29.2, , ,, , ,11.2,0.27,0.283,Mil Hdbk5-G,2.6.6.0 c),Stainless Steel (Precipitation and Transformation Hardening Steel),"15-5PH H1025 .626-2.000"""
88,15-5PH,AMS 5862,Plate,H1025,"2.001-3.000""",S,154,155, ,143,145, ,150,146, ,96, , ,257, , ,331, , ,211, , ,246, , ,,12,,28.5, , , , , ,29.2, , ,, , ,11.2,0.27,0.283,Mil Hdbk5-G,2.6.6.0 c),Stainless Steel (Precipitation and Transformation Hardening Steel),"15-5PH H1025 2.001-3.000"""
89,15-5PH,AMS 5862,Plate,H1025,"3.001-4.000""",S, ,155, , ,145, , , , , , , , , , , , , , , , , , , ,,12,,28.5, , , , , ,29.2, , ,, , ,11.2,0.27,0.283,Mil Hdbk5-G,2.6.6.0 c),Stainless Steel (Precipitation and Transformation Hardening Steel),"15-5PH H1025 3.001-4.000"""
90,15-5PH,AMS 5400,Investment Casting,H935,Any,S,170, , ,150, , ,155, , ,107, , ,269, , ,349, , ,209, , ,240, , ,6,,,28.5, , , , , ,29.2, , ,, , ,11.2,0.27,0.283,Mil Hdbk5-G,2.6.6.0 d),Stainless Steel (Precipitation and Transformation Hardening Steel),15-5PH H935 Any
91,PH15-7Mo,AMS 5520,"Sheet, Strip, Plate",TH1050,".0015-.500""",S,185,190, ,165,170, ,185,188, ,120, , ,327, , ,377, , ,259, , ,272, , ,,,,29, , , , , ,30, , ,, , ,11.4,0.28,0.277,Mil Hdbk5-G,2.6.7.0 b),Stainless Steel (Precipitation and Transformation Hardening Steel),"PH15-7Mo TH1050 .0015-.500"""
92,17-4PH,AMS 5604,"Sheet, Strip, Plate",H900,"<=4.00""",S, ,190, ,170, , , , , , , , , , , , , , , , , , , , ,,,,28.5, , , , , ,30, , ,, , ,11.2,0.27,0.282,Mil Hdbk5-G,2.6.8.0 b),Stainless Steel (Precipitation and Transformation Hardening Steel),"17-4PH H900 <=4.00"""
93,17-4PH,AMS 5604,"Sheet, Strip, Plate",H925,"<=4.00""",S, ,170, ,155, , , , , , , , , , , , , , , , , , , , ,,,,28.5, , , , , ,30, , ,, , ,11.2,0.27, ,Mil Hdbk5-G,2.6.8.0 b),Stainless Steel (Precipitation and Transformation Hardening Steel),"17-4PH H925 <=4.00"""
94,17-4PH,AMS 5604,"Sheet, Strip, Plate",H1025,"<=4.00""",S, ,155, ,145, , , , , , , , , , , , , , , , , , , , ,,,,28.5, , , , , ,30, , ,, , ,11.2,0.27, ,Mil Hdbk5-G,2.6.8.0 b),Stainless Steel (Precipitation and Transformation Hardening Steel),"17-4PH H1025 <=4.00"""
95,17-4PH,AMS 5604,"Sheet, Strip, Plate",H1075,"<=4.00""",S, ,145, ,125, , , , , , , , , , , , , , , , , , , , ,,,,28.5, , , , , ,30, , ,, , ,11.2,0.27,0.283,Mil Hdbk5-G,2.6.8.0 b),Stainless Steel (Precipitation and Transformation Hardening Steel),"17-4PH H1075 <=4.00"""
96,17-4PH,AMS 5604,"Sheet, Strip, Plate",H1100,"<=4.00""",S, ,140, ,115, , , , , , , , , , , , , , , , , , , , ,,,,28.5, , , , , ,30, , ,, , ,11.2,0.27,0.284,Mil Hdbk5-G,2.6.8.0 b),Stainless Steel (Precipitation and Transformation Hardening Steel),"17-4PH H1100 <=4.00"""
97,17-4PH,AMS 5604,"Sheet, Strip, Plate",H1150,"<=4.00""",S, ,135, ,105, , , , , , , , , , , , , , , , , , , , ,,,,28.5, , , , , ,30, , ,, , ,11.2,0.27, ,Mil Hdbk5-G,2.6.8.0 b),Stainless Steel (Precipitation and Transformation Hardening Steel),"17-4PH H1150 <=4.00"""
98,17-4PH,AMS 5643,"Forging, Tubing, Rings",H900,"<=8.00""",S,190, , ,170, , , , , , , , , , , , , , , , , , , , ,10,,,28.5, , , , , ,30, , ,, , ,11.2,0.27,0.282,Mil Hdbk5-G,2.6.8.0 d),Stainless Steel (Precipitation and Transformation Hardening Steel),"17-4PH H900 <=8.00"""
99,17-4PH,AMS 5643,"Forging, Tubing, Rings",H925,"<=8.00""",S,170, , ,155, , , , , , , , , , , , , , , , , , , , ,10,,,28.5, , , , , ,30, , ,, , ,11.2,0.27, ,Mil Hdbk5-G,2.6.8.0 d),Stainless Steel (Precipitation and Transformation Hardening Steel),"17-4PH H925 <=8.00"""
100,17-4PH,AMS 5643,"Forging, Tubing, Rings",H1025,"<=8.00""",S,155, , ,145, , , , , , , , , , , , , , , , , , , , ,12,,,28.5, , , , , ,30, , ,, , ,11.2,0.27, ,Mil Hdbk5-G,2.6.8.0 d),Stainless Steel (Precipitation and Transformation Hardening Steel),"17-4PH H1025 <=8.00"""
101,17-4PH,AMS 5643,"Forging, Tubing, Rings",H1075,"<=8.00""",S,145, , ,125, , , , , , , , , , , , , , , , , , , , ,13,,,28.5, , , , , ,30, , ,, , ,11.2,0.27,0.283,Mil Hdbk5-G,2.6.8.0 d),Stainless Steel (Precipitation and Transformation Hardening Steel),"17-4PH H1075 <=8.00"""
102,17-4PH,AMS 5643,"Forging, Tubing, Rings",H1100,"<=8.00""",S,140, , ,115, , , , , , , , , , , , , , , , , , , , ,14,,,28.5, , , , , ,30, , ,, , ,11.2,0.27, ,Mil Hdbk5-G,2.6.8.0 d),Stainless Steel (Precipitation and Transformation Hardening Steel),"17-4PH H1100 <=8.00"""
103,17-4PH,AMS 5643,"Forging, Tubing, Rings",H1150,"<=8.00""",S,135, , ,105, , , , , , , , , , , , , , , , , , , , ,16,,,28.5, , , , , ,30, , ,, , ,11.2,0.27,0.284,Mil Hdbk5-G,2.6.8.0 d),Stainless Steel (Precipitation and Transformation Hardening Steel),"17-4PH H1150 <=8.00"""
104,17-4PH,AMS 5643,"Forging, Tubing, Rings",H1150M,"<=8.00""",S,115, , ,75, , , , , , , , , , , , , , , , , , , , ,18,,,28.5, , , , , ,30, , ,, , ,11.2,0.27, ,Mil Hdbk5-G,2.6.8.0 d),Stainless Steel (Precipitation and Transformation Hardening Steel),"17-4PH H1150M <=8.00"""
105,17-4PH,AMS 5643,Bar,H900,"<8.00""",A,190, , ,170, , ,170, , ,123, , ,313, , ,380, , ,255, , ,280, , ,10,,,28.5, , , , , ,30, , , , , ,11.2,0.27,0.282,Mil Hdbk5-G,2.6.8.0 e),Stainless Steel (Precipitation and Transformation Hardening Steel),"17-4PH H900 <8.00"""
106,17-4PH,AMS 5643,Bar,H900,"<8.00""",B,195, , ,175, , ,175, , ,126, , ,322, , ,390, , ,262, , ,288, , ,10,,,28.5, , , , , ,30, , , , , ,11.2,0.27,0.282,Mil Hdbk5-G,2.6.8.0 e),Stainless Steel (Precipitation and Transformation Hardening Steel),"17-4PH H900 <8.00"""
107,17-4PH,AMS 5643,Bar,H925,"<8.00""",A,170, , ,155, , , , , , , , , , , , , , , , , , , , ,10,,,28.5, , , , , ,30, , , , , ,11.2,0.27, ,Mil Hdbk5-G,2.6.8.0 e),Stainless Steel (Precipitation and Transformation Hardening Steel),"17-4PH H925 <8.00"""
108,17-4PH,AMS 5643,Bar,H925,"<8.00""",B,178, , ,167, , , , , , , , , , , , , , , , , , , , ,10,,,28.5, , , , , ,30, , , , , ,11.2,0.27, ,Mil Hdbk5-G,2.6.8.0 e),Stainless Steel (Precipitation and Transformation Hardening Steel),"17-4PH H925 <8.00"""
109,17-4PH,AMS 5643,Bar,H1025,"<8.00""",S,155, , ,145, , ,139, , ,95, , ,263, , ,332, , ,211, , ,250, , ,12,,,28.5, , , , , ,30, , , , , ,11.2,0.27, ,Mil Hdbk5-G,2.6.8.0 e),Stainless Steel (Precipitation and Transformation Hardening Steel),"17-4PH H1025 <8.00"""
110,17-4PH,AMS 5643,Bar,H1075,"<8.00""",A,143, , ,125, , , , , , , , , , , , , , , , , , , , ,13,,,28.5, , , , , ,30, , , , , ,11.2,0.27,0.283,Mil Hdbk5-G,2.6.8.0 e),Stainless Steel (Precipitation and Transformation Hardening Steel),"17-4PH H1075 <8.00"""
111,17-4PH,AMS 5643,Bar,H1075,"<8.00""",B,143, , ,143, , , , , , , , , , , , , , , , , , , , ,13,,,28.5, , , , , ,30, , , , , ,11.2,0.27,0.283,Mil Hdbk5-G,2.6.8.0 e),Stainless Steel (Precipitation and Transformation Hardening Steel),"17-4PH H1075 <8.00"""
112,17-4PH,AMS 5643,Bar,H1100,"<8.00""",S,140, , ,115, , , , , , , , , , , , , , , , , , , , ,14,,,28.5, , , , , ,30, , , , , ,11.2,0.27, ,Mil Hdbk5-G,2.6.8.0 e),Stainless Steel (Precipitation and Transformation Hardening Steel),"17-4PH H1100 <8.00"""
113,17-4PH,AMS 5643,Bar,H1150,"<8.00""",A,125, , ,100, , ,90, , ,79, , ,213, , ,270, , ,152, , ,181, , ,16,,,28.5, , , , , ,30, , , , , ,11.2,0.27,0.284,Mil Hdbk5-G,2.6.8.0 e),Stainless Steel (Precipitation and Transformation Hardening Steel),"17-4PH H1150 <8.00"""
114,17-4PH,AMS 5643,Bar,H1150,"<8.00""",B,134, , ,115, , ,104, , ,85, , ,228, , ,289, , ,175, , ,208, , ,16,,,28.5, , , , , ,30, , , , , ,11.2,0.27,0.284,Mil Hdbk5-G,2.6.8.0 e),Stainless Steel (Precipitation and Transformation Hardening Steel),"17-4PH H1150 <8.00"""
115,17-4PH,AMS 5643,Bar,H1150M,"<8.00""",S,115, , ,75, , , , , , , , , , , , , , , , , , , , ,18,,,28.5, , , , , ,30, , , , , ,11.2,0.27, ,Mil Hdbk5-G,2.6.8.0 e),Stainless Steel (Precipitation and Transformation Hardening Steel),"17-4PH H1150M <8.00"""
116,17-4PH,AMS 5344,Investment Casting, ,Any,S,180, , ,160, , , , , , , , , , , , , , , , , , , , ,4,,,28.5, , , , , ,30, , , , , ,12.7,0.27,0.282,Mil Hdbk5-G,2.6.8.0 f),Stainless Steel (Precipitation and Transformation Hardening Steel),17-4PH   Any
117,17-4PH,AMS 5343,Investment Casting,H1000,Any,S,150, , ,130, , ,132, , ,98, , ,254, , ,329, , ,189, , ,222, , ,4,,,28.5, , , , , ,30, , , , , ,12.7,0.27, ,Mil Hdbk5-G,2.6.8.0 f),Stainless Steel (Precipitation and Transformation Hardening Steel),17-4PH H1000 Any
118,17-4PH,AMS 5342,Investment Casting,H1100,Any,S,130, , ,120, , , , , , , , , , , , , , , , , , , , ,6,,,28.5, , , , , ,30, , , , , ,12.7,0.27, ,Mil Hdbk5-G,2.6.8.0 f),Stainless Steel (Precipitation and Transformation Hardening Steel),17-4PH H1100 Any
119,17-7PH,"AMS 5528, MIL-S-25043",Sheet,TH1050,".015-.187""",A,177,177, ,150,150, ,160,166, ,112, , ,305, , ,351, , ,228, , ,240, , ,,,,29, , , , , ,30, , , , , ,11.5,0.28,0.276,Mil Hdbk5-G,2.6.9.0 b),Stainless Steel (Precipitation and Transformation Hardening Steel),"17-7PH TH1050 .015-.187"""
120,17-7PH,"AMS 5528, MIL-S-25043",Sheet,TH1050,".015-.187""",B,183,184, ,167,167, ,179,185, ,117, , ,317, , ,365, , ,254, , ,267, , ,,,,29, , , , , ,30, , , , , ,11.5,0.28,0.276,Mil Hdbk5-G,2.6.9.0 b),Stainless Steel (Precipitation and Transformation Hardening Steel),"17-7PH TH1050 .015-.187"""
121,17-7PH,"AMS 5528, MIL-S-25043",Plate,TH1050,".188-.500""",S, ,180, , ,150, ,160,166, ,114, , ,310, , ,357, , ,228, , ,240, , ,6,,,29, , , , , ,30, , , , , ,11.5,0.28,0.276,Mil Hdbk5-G,2.6.9.0 b),Stainless Steel (Precipitation and Transformation Hardening Steel),"17-7PH TH1050 .188-.500"""
122,17-7PH,AMS 5528 ,Plate,TH1050,".501-1.000""",S, ,180, , ,150, , , , , , , , , , , , , , , , , , , ,6,,,29, , , , , ,30, , , , , ,11.5,0.28,0.276,Mil Hdbk5-G,2.6.9.0 b),Stainless Steel (Precipitation and Transformation Hardening Steel),"17-7PH TH1050 .501-1.000"""
123,"AISI 301,302,303,304,321, 347",MIL-S-5059,"Sheet, Strip, plate",Annealed,"<=.187""",S,73,75, ,26,30, ,23,29, ,50, , , , , ,162, , , , , ,55, , ,,40,,29,29, , , , ,28,28, , , , ,11.2,0.27,0.286,Mil Hdbk5-G,2.7.1.0 b),Austentic Stainless Steel (18Cr-8Ni),"AISI 301,302,303,304,321, 347 Annealed <=.187"""
124,"AISI 301,302,303,304,321, 347","AMS 5517, MIL-S-5059","Sheet, Strip, plate",1/4 Hard,,A,124,122, ,69,67, ,44,71, ,66, , , , , ,262, , , , , ,123, , ,,25,,27,28, , , , ,26,27, , , , ,10.6,0.27,0.286,Mil Hdbk5-G,2.7.1.0 b),Austentic Stainless Steel (18Cr-8Ni),"AISI 301,302,303,304,321, 347 1/4 Hard "
125,"AISI 301,302,303,304,321, 347","AMS 5517, MIL-S-5059","Sheet, Strip, plate",1/4 Hard,,B,129,127, ,83,82, ,54,88, ,69, , , , , ,273, , , , , ,149, , ,,,,27,28, , , , ,26,27, , , , ,10.6,0.27,0.286,Mil Hdbk5-G,2.7.1.0 b),Austentic Stainless Steel (18Cr-8Ni),"AISI 301,302,303,304,321, 347 1/4 Hard "
126,"AISI 301,302,303,304,321, 347","AMS 5518, MIL-S-5059","Sheet, Strip, plate",1/2 Hard, ,A,141,142, ,93,92, ,61,100, ,77, , , , , ,292, , , , , ,167, , ,,,,26,28, , , , ,26,27, , , , ,10.5,0.27,0.286,Mil Hdbk5-G,2.7.1.0 b),Austentic Stainless Steel (18Cr-8Ni),"AISI 301,302,303,304,321, 347 1/2 Hard  "
127,"AISI 301,302,303,304,321, 347","AMS 5518, MIL-S-5059","Sheet, Strip, plate",1/2 Hard,,B,151,152, ,110,105, ,69,116, ,82, , , , , ,310, , , , , ,189, , ,,,,26,28, , , , ,26,27, , , , ,10.5,0.27,0.286,Mil Hdbk5-G,2.7.1.0 b),Austentic Stainless Steel (18Cr-8Ni),"AISI 301,302,303,304,321, 347 1/2 Hard "
128,"AISI 301,302,303,304,321, 347",MIL-S-5059,"Sheet, Strip, plate",3/4 Hard, ,A,157,163, ,118,113, ,75,127, ,88, , , , , ,327, , , , , ,202, , ,,,,26,28, , , , ,26,27, , , , ,10.5,0.27,0.286,Mil Hdbk5-G,2.7.1.0 b),Austentic Stainless Steel (18Cr-8Ni),"AISI 301,302,303,304,321, 347 3/4 Hard  "
129,"AISI 301,302,303,304,321, 347",MIL-S-5059,"Sheet, Strip, plate",3/4 Hard,,B,168,173, ,135,133, ,88,152, ,93, , , , , ,342, , , , , ,234, , ,,,,26,28, , , , ,26,27, , , , ,10.5,0.27,0.286,Mil Hdbk5-G,2.7.1.0 b),Austentic Stainless Steel (18Cr-8Ni),"AISI 301,302,303,304,321, 347 3/4 Hard "
130,"AISI 301,302,303,304,321, 347","AMS 5519, MIL-S-5059","Sheet, Strip, plate",Full Hard, ,A,174,175, ,137,135, ,83,142, ,95, , , , , ,346, , , , , ,222, , ,,,,26,28, , , , ,26,27, , , , ,10.5,0.27,0.286,Mil Hdbk5-G,2.7.1.0 b),Austentic Stainless Steel (18Cr-8Ni),"AISI 301,302,303,304,321, 347 Full Hard  "
131,"AISI 301,302,303,304,321, 347","AMS 5519, MIL-S-5059","Sheet, Strip, plate",Full Hard,,B,185,186, ,153,142, ,94,164, ,100, , , , , ,361, , , , , ,249, , ,,,,26,28, , , , ,26,27, , , , ,10.5,0.27,0.286,Mil Hdbk5-G,2.7.1.0 b),Austentic Stainless Steel (18Cr-8Ni),"AISI 301,302,303,304,321, 347 Full Hard "
132,S30400,"MIL-T-6845D, superseded by AMS5566",Tubing,1/8 Hard,">0.25"" dia",S,105, , ,75, , , , , , , , , , , , , , , , , , , , ,20,,, , , , , , , , , , , , , , , ,Mil-T-6845D,,Corrosion Resistant Steel,"S30400 1/8 Hard >0.25"" dia"
133,SAE 30304,AMS 5566J,Tubing, ,<0.125,S,95, , , , , , , , , , , , , , , , , , , , , , , ,20,,, , , , , , , , , , , , , , , ,AMS 5566J,,Corrosion Resistant Steel,SAE 30304   <0.125
134,SAE 30304,AMS 5566J,Tubing, ,0.125-0.188,S,95, , ,60, , , , , , , , , , , , , , , , , , , , ,25,,, , , , , , , , , , , , , , , ,AMS 5566J,,Corrosion Resistant Steel,SAE 30304   0.125-0.188
135,SAE 30304,AMS 5566J,Tubing, ,>0.188,S,105, , ,75, , , , , , , , , , , , , , , , , , , , ,20,,, , , , , , , , , , , , , , , ,AMS 5566J,,Corrosion Resistant Steel,SAE 30304   >0.188
136,9Mn-20Cr-6.5Ni-.28N ,AMS 5561C,Tubing, , ,S,142, , ,120, , , , , , , , , , , , , , , , , , , , ,20,,, , , , , , , , , , , , , , , ,AMS 5561C,,Corrosion and Heat Resistant Steel,9Mn-20Cr-6.5Ni-.28N     
137,A-286 (Fe-25Ni-15Cr-2Ti),AMS 5525B,"Sheet, Strip, Plate",ST: 1800F>60min-airmelt, ,S,105, , , , , , , , , , , , , , , , , , , , , , , ,25,,, , , , , , , , , , , , , , , ,Steel Hdbk,code 1601,Hardenable Austenitic Ni Cr Steel (used up to 1300F),A-286 (Fe-25Ni-15Cr-2Ti) ST: 1800F>60min-airmelt  
138,A-286 (Fe-25Ni-15Cr-2Ti),AMS 5525B,"Sheet, Strip, Plate",ST+Aged, ,S,140, , ,95, , ,95, , ,91, , ,210, , ,266, , ,142, , ,171, , ,15,,,29.1, , , , , ,29.1, , , , , ,10.4, , ,Steel Hdbk,code 1601,Hardenable Austenitic Ni Cr Steel (used up to 1300F),A-286 (Fe-25Ni-15Cr-2Ti) ST+Aged  
139,A-286 (Fe-25Ni-15Cr-2Ti),AMS 5735E,"Bars, forgings and tubings",ST+Aged, ,S,130, , ,85, , ,85, , ,85, , ,195, , ,247, , ,127, , ,153, , ,15,,,29.1, , , , , ,29.1, , , , , ,10.4, , ,Steel Hdbk,code 1601,Hardenable Austenitic Ni Cr Steel (used up to 1300F),A-286 (Fe-25Ni-15Cr-2Ti) ST+Aged  
140,A-286 (Fe-25Ni-15Cr-2Ti),AMS 5737B consumable electrode melted,"Bars, forgings and tubings",ST+Aged, ,S,140, , ,95, , ,95, , ,91, , ,210, , ,266, , ,142, , ,171, , ,12,,,29.1, , , , , ,29.1, , , , , ,10.4, , ,Steel Hdbk,code 1601,Hardenable Austenitic Ni Cr Steel (used up to 1300F),A-286 (Fe-25Ni-15Cr-2Ti) ST+Aged  
141,,,, ,,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
142,,,,,, , , , , , , , , , , , , , , , , , , , , , , , , , ,,, , , , , , , , , , , , , , , , ,,,  
143,,,,,,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
144,,,,,, , , , , , , , , , , , , , , , , , , , , , , , , , ,,, , , , , , , , , , , , , , , , ,,,  
145,,,,,,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
146,,,,,, , , , , , , , , , , , , , , , , , , , , , , , , , ,,, , , , , , , , , , , , , , , , ,,,  
147,,,,,,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
148,,,,,, , , , , , , , , , , , , , , , , , , , , , , , , , ,,, , , , , , , , , , , , , , , , ,,,  
149,,,,,,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
150,,,,,, , , , , , , , , , , , , , , , , , , , , , , , , , ,,, , , , , , , , , , , , , , , , ,,,  
151,,,,,,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
152,,,,,, , , , , , , , , , , , , , , , , , , , , , , , , , ,,, , , , , , , , , , , , , , , , ,,,  
153,,,,,,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
154,,,,,, , , , , , , , , , , , , , , , , , , , , , , , , , ,,, , , , , , , , , , , , , , , , ,,,  
155,,,,,,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
156,,,,,, , , , , , , , , , , , , , , , , , , , , , , , , , ,,, , , , , , , , , , , , , , , , ,,,  
157,,,,,,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
158,,,,,, , , , , , , , , , , , , , , , , , , , , , , , , , ,,, , , , , , , , , , , , , , , , ,,,  
159,,,,,,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
160,,,,,, , , , , , , , , , , , , , , , , , , , , , , , , , ,,, , , , , , , , , , , , , , , , ,,,  
161,,,,,,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
162,,,,,, , , , , , , , , , , , , , , , , , , , , , , , , , ,,, , , , , , , , , , , , , , , , ,,,  
163,2014 Alum Alloy Sheet and Plate,AMS4029,Sheet,T6,".020-.039""",A,65,64, ,58,57, ,58,59, ,39, , ,97, , ,123, , ,81, , ,93, , ,,6,,10.5, , , , , ,10.7, , , , , ,4,0.33,0.101,Mil Hdbk5-G,3.2.1.0 b1),2000 Series Wrought Aluminum Alloy,"2014 Alum Alloy Sheet and Plate T6 .020-.039"""
164,2014 Alum Alloy Sheet and Plate,AMS4029,Sheet,T6,".020-.039""",B,67,66, ,60,59, ,60,61, ,40, , ,100, , ,127, , ,84, , ,96, , ,,,,10.5, , , , , ,10.7, , , , , ,4,0.33,0.101,Mil Hdbk5-G,3.2.1.0 b1),2000 Series Wrought Aluminum Alloy,"2014 Alum Alloy Sheet and Plate T6 .020-.039"""
165,2014 Alum Alloy Sheet and Plate,AMS4029,Sheet,T6,".040-.249""",A,67,66, ,59,58, ,59,60, ,40, , ,100, , ,127, , ,83, , ,94, , ,,7,,10.5, , , , , ,10.7, , , , , ,4,0.33,0.101,Mil Hdbk5-G,3.2.1.0 b1),2000 Series Wrought Aluminum Alloy,"2014 Alum Alloy Sheet and Plate T6 .040-.249"""
